rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
1.,The Shawshank Redemption,(1994),A,142 min,"
Drama            ",9.3,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",$28.34M
2.,The Godfather,(1972),A,175 min,"
Crime, Drama            ",9.2,"
    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",$134.97M
3.,The Dark Knight,(2008),UA,152 min,"
Action, Crime, Drama            ",9,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M
4.,The Godfather: Part II,(1974),A,202 min,"
Crime, Drama            ",9,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",$57.30M
5.,Wheels,(II) (2014),R,115 min,"
Drama            ",8.9,"
    Two suicidal paraplegic junkies hustle their way through the city streets trying to find a reason to live.",Tim Gagliardo,"Donavon Warren, Donavon Warren, Patrick Hume, Diana Gettinger",NaN
6.,The Lord of the Rings: The Return of the King,(2003),U,201 min,"
Action, Adventure, Drama            ",8.9,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",$377.85M
7.,Pulp Fiction,(1994),A,154 min,"
Crime, Drama            ",8.9,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",$107.93M
8.,Schindler's List,(1993),A,195 min,"
Biography, Drama, History            ",8.9,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",$96.90M
9.,12 Angry Men,(1957),96 min,96 min,"
Crime, Drama            ",8.9,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",$4.36M
10.,Hamilton,(2020),12+,160 min,"
Biography, Drama, History            ",8.8,"
    The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",NaN
11.,Inception,(2010),UA,148 min,"
Action, Adventure, Sci-Fi            ",8.8,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",$292.58M
